round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
5,0.7313372782298497,0.48571428656578064,0.7218528488051393,0.519656,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.7055654723303658,0.5057142972946167,0.7032585369574057,0.527027,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.7071966712815421,0.5,0.6397546195866728,0.64496315,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.6950181998525347,0.5428571701049805,0.6098651847909651,0.6916462,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
5,0.7617039258139474,0.4457142949104309,0.7222783206721781,0.504914,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.6912233584267753,0.5371428728103638,0.6938080181360831,0.5257985,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.6902914255005973,0.5628571510314941,0.6403774854884979,0.6363636,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.7163334730693273,0.47428572177886963,0.6038478793031753,0.7235872,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
10,0.7196666244098119,0.47428572177886963,0.6875076444787533,0.5675676,<function relu at 0x13c0421e0>,64,0.01,10,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
10,0.7190506843158176,0.47428572177886963,0.6825961494035744,0.55036855,<function relu at 0x13c0421e0>,64,0.01,10,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
10,0.69583785874503,0.5685714483261108,0.5974185939795847,0.7162162,<function relu at 0x13c0421e0>,64,0.01,10,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
10,0.7197268411091395,0.508571445941925,0.5328163891225248,0.7714988,<function relu at 0x13c0421e0>,64,0.01,10,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
10,0.6935899748120989,0.5400000214576721,0.6815809210629662,0.56388205,<function relu at 0x13c0421e0>,64,0.01,10,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
10,0.7099997482981001,0.5342857241630554,0.6749819906689318,0.5970516,<function relu at 0x13c0421e0>,64,0.01,10,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
10,0.7064301749638149,0.5600000023841858,0.5848967655577882,0.7014742,<function relu at 0x13c0421e0>,64,0.01,10,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
10,0.7157061144283839,0.545714259147644,0.5254658612923775,0.7911548,<function relu at 0x13c0421e0>,64,0.01,10,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,0.6990755179950169,0.5114285945892334,0.67543477889068,0.57739556,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.6881234564099993,0.5342857241630554,0.6584142398189854,0.6081081,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.709536166872297,0.5428571701049805,0.5530683793658413,0.78009826,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.7369525051116943,0.5285714268684387,0.4577918134684645,0.8316953,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,0.7001535023961748,0.522857129573822,0.6798614935734348,0.5749386,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.6780727393286569,0.5771428346633911,0.656708170213629,0.62653565,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.7254708259446281,0.5285714268684387,0.555920025201043,0.7911548,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.7646293960298811,0.49142858386039734,0.44276197675697926,0.87346435,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
5,0.7029458696501596,0.5257142782211304,0.6926178722768217,0.5466831,<function relu at 0x13c0421e0>,64,0.1,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.7088705904143198,0.488571435213089,0.6893041546866114,0.53194106,<function relu at 0x13c0421e0>,64,0.1,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.6838220688274929,0.5514285564422607,0.651370319892499,0.63144964,<function relu at 0x13c0421e0>,64,0.1,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.7048146799632481,0.5257142782211304,0.6305399288123598,0.6302211,<function relu at 0x13c0421e0>,64,0.1,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
