round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
5,0.6725241705331889,0.5924967527389526,0.6336231375494337,0.6472546,<function relu at 0x1370a5d90>,64,0.0,5,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.7184222386848726,0.5640362501144409,0.5655283127899509,0.7359956,<function relu at 0x1370a5d90>,64,0.0,5,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
5,0.6821513886130951,0.5795601606369019,0.6244562203131712,0.651137,<function relu at 0x1370a5d90>,64,0.0,5,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.7169677222684931,0.5717982053756714,0.5718774007084763,0.7210205,<function relu at 0x1370a5d90>,64,0.0,5,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
5,0.6865381335533606,0.565329909324646,0.6332692856003163,0.64559066,<function relu at 0x1370a5d90>,64,0.0,5,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.7120991103245092,0.5666235685348511,0.5658663566484097,0.72601223,<function relu at 0x1370a5d90>,64,0.0,5,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
5,0.6810169140549249,0.5886157751083374,0.6278105331207736,0.6622296,<function relu at 0x1370a5d90>,64,0.0,5,150,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
5,0.7179256945964128,0.5368693470954895,0.5649483033966767,0.7243483,<function relu at 0x1370a5d90>,64,0.0,5,150,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
10,0.6890489305977988,0.5536869168281555,0.5854209445611147,0.7121464,<function relu at 0x1370a5d90>,64,0.0,10,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
10,0.8192885691567504,0.565329909324646,0.40968240773552206,0.8291736,<function relu at 0x1370a5d90>,64,0.0,10,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
10,0.7016561173991738,0.5640362501144409,0.574191028021867,0.72323906,<function relu at 0x1370a5d90>,64,0.0,10,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
10,0.8239837025917517,0.5316947102546692,0.3752199546105982,0.86799777,<function relu at 0x1370a5d90>,64,0.0,10,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
10,0.7067564909393389,0.5730918645858765,0.5779098798947009,0.71824735,<function relu at 0x1370a5d90>,64,0.0,10,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
10,0.8678054962244565,0.527813732624054,0.37868131850073883,0.8624515,<function relu at 0x1370a5d90>,64,0.0,10,150,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
10,0.687023695273973,0.5808538198471069,0.5802314185263114,0.71436495,<function relu at 0x1370a5d90>,64,0.0,10,150,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
10,0.8563508911860714,0.5420439839363098,0.3741109698630675,0.85135883,<function relu at 0x1370a5d90>,64,0.0,10,150,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
15,0.7050231317344952,0.5588615536689758,0.5260979191204341,0.76760954,<function relu at 0x1370a5d90>,64,0.0,15,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
15,1.0627959493215149,0.5122897624969482,0.22867692144989504,0.9378813,<function relu at 0x1370a5d90>,64,0.0,15,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
15,0.7282401064234902,0.5666235685348511,0.5157867042276506,0.78369385,<function relu at 0x1370a5d90>,64,0.0,15,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,64,<class 'keras.optimizers.Adam'>
15,1.0492945921837435,0.5342820286750793,0.20177096895423124,0.9417637,<function relu at 0x1370a5d90>,64,0.0,15,100,3,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
