round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer
1,90.26989645421274,0.4902975559234619,197.73858999928302,0.5174709,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,92.74056337660065,0.5019404888153076,131.882382107786,0.5174709,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,76.56042184373231,0.5161707401275635,345.85287815375386,0.515807,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,109.45956442612109,0.5394566655158997,172.9543208219049,0.51136994,<function relu at 0x1370a5d90>,32,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,100.64688654056958,0.5329883694648743,122.31507842222057,0.5069329,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,165.58514692496513,0.4618369936943054,160.69661221369333,0.51858014,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,75.14671324203117,0.5226390957832336,128.0362515653165,0.5213533,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,95.4622260731528,0.46571797132492065,182.23385151266984,0.4858569,<function relu at 0x1370a5d90>,32,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,84.39222594467202,0.49288487434387207,158.28452465789422,0.5124792,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,124.28767554911111,0.4864165484905243,133.59255042898607,0.5169163,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,76.19146402810554,0.5226390957832336,100.54398052175377,0.5246811,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,74.89998399208928,0.54463130235672,164.92295701571194,0.4997227,<function relu at 0x1370a5d90>,32,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,139.46814168162672,0.5549805760383606,389.29981284371627,0.5196894,<function relu at 0x1370a5d90>,32,0.0,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,76.69218684538215,0.47606727480888367,124.91653881189364,0.515807,<function relu at 0x1370a5d90>,32,0.0,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
